"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27437, 2.042744870325606e+01, 2.620452332523023e-01, 9.533694385055528e+00, -1.806929335479466e+02, 2.981102320308025e+02, 2.123732342641157e+06, 1.681458890968111e-03
27438, 2.042765937396415e+01, 2.621935207524472e-01, 9.535301885529902e+00, -1.861781280303508e+02, 3.077998924192043e+02, 2.124196132368395e+06, 1.946488476269621e-03
27439, 2.042790460909486e+01, 2.623661375571628e-01, 9.536965686619796e+00, -1.913722776327216e+02, 3.171556926690519e+02, 2.124665788160470e+06, 2.251035487821519e-03
27440, 2.042818984199848e+01, 2.625669081086121e-01, 9.538679618856431e+00, -1.962101543761516e+02, 3.260946086475674e+02, 2.125137584618919e+06, 2.604612209332357e-03
27441, 2.042852133546436e+01, 2.628002406768426e-01, 9.540432926007901e+00, -2.006129580545794e+02, 3.345138504777659e+02, 2.125606595686397e+06, 3.022459610345761e-03
27442, 2.042890630566986e+01, 2.630712146054023e-01, 9.542210567535649e+00, -2.044858776808332e+02, 3.422887544319091e+02, 2.126066602869293e+06, 3.531746916608273e-03
27443, 2.042935306435415e+01, 2.633856803850163e-01, 9.543992815348616e+00, -2.077159558263729e+02, 3.492689817142538e+02, 2.126510323643286e+06, 4.188345936430106e-03
27444, 2.042987118186244e+01, 2.637503744176184e-01, 9.545753493518932e+00, -2.101726260567702e+02, 3.552794390147538e+02, 2.126929368721982e+06, 5.096754233135173e-03
27445, 2.043047167408647e+01, 2.641730506005747e-01, 9.547463515914655e+00, -2.117231913202599e+02, 3.601468185348734e+02, 2.127315395283657e+06, 6.301951670415088e-03
27446, 2.043116721676155e+01, 2.646626311666853e-01, 9.549094957123403e+00, -2.122398829836240e+02, 3.637131049441325e+02, 2.127661225505695e+06, 7.849355640698276e-03
27447, 2.043197239107638e+01, 2.652293795647376e-01, 9.550620912413722e+00, -2.115931349854636e+02, 3.658260969088255e+02, 2.127961049429692e+06, 9.814367415650066e-03
27448, 2.043290396511876e+01, 2.658850985642878e-01, 9.552014706367549e+00, -2.096467032428060e+02, 3.663336827062294e+02, 2.128210570730091e+06, 1.230297142877889e-02
27449, 2.043398121632731e+01, 2.666433572239379e-01, 9.553249780000742e+00, -2.062553436453014e+02, 3.650831033902378e+02, 2.128407354967718e+06, 1.544533661850376e-02
27450, 2.043522630085879e+01, 2.675197508826130e-01, 9.554300086218692e+00, -2.012615668579800e+02, 3.619198527119941e+02, 2.128551313723212e+06, 1.938073103040251e-02
27451, 2.043666467662410e+01, 2.685321989274304e-01, 9.555140755465116e+00, -1.944915399614473e+02, 3.566861137484878e+02, 2.128645353870570e+06, 2.429404905825623e-02
27452, 2.043832558771043e+01, 2.697012857700365e-01, 9.555749234244733e+00, -1.857525160622228e+02, 3.492224778570990e+02, 2.128696214287122e+06, 3.042260787450320e-02
27453, 2.044024261900605e+01, 2.710506512376126e-01, 9.556104577643099e+00, -1.748316436915587e+02, 3.393715155867393e+02, 2.128714731106550e+06, 3.806797058099580e-02
27454, 2.044245433110149e+01, 2.726074374687968e-01, 9.556198437793510e+00, -1.614887183365830e+02, 3.269779998382224e+02, 2.128717162382961e+06, 4.751992006127021e-02
27455, 2.044500498697271e+01, 2.744028004136391e-01, 9.556057815156983e+00, -1.454062945902098e+02, 3.118389131989827e+02, 2.128730552128773e+06, 5.834888348991345e-02
